simulated rocket Altitude (m),simulated Vertical velocity (m/s),V_f (m/s)
0,0,333.1918725
0.0031613,0.63226,333.3521199
0.018771,2.4898,333.5116943
0.054276,4.6116,333.6725567
0.11107,6.7479,333.8337283
0.1891,8.8577,333.99257
0.28815,10.954,334.1543595
0.39685,12.859,334.3138143
0.50314,14.476,334.4745591
0.60808,15.908,334.6362969
0.71216,17.207,334.7976614
0.81564,18.404,334.9576616
0.91867,19.521,335.1191617
1.0214,20.571,335.280953
1.1855,22.149,335.4419
1.4545,24.524,335.6038082
1.9094,28.101,335.7650395
2.7082,33.501,335.9272328
4.1704,41.676,336.0887486
6.5207,52.339,336.2512273
9.4064,63.08,336.413849
12.829,73.836,336.5756223
16.789,84.546,336.7383591
19.529,91.226,336.9004169
21.925,96.69,337.0634388
24.443,102.07,337.2257813
27.641,108.47,337.3890888
32.803,118.05,337.5515444
38.121,126.97,337.7151376
41.103,131.69,337.8778777
44.661,137.04,338.0415839
50.261,144.87,338.2046088
57.744,154.41,338.3686004
62.906,160.53,338.5317364
71.018,169.41,338.6961876
79.708,178.18,338.8596084
88.827,186.51,339.0241715
98.349,194.35,339.1877022
108.25,201.71,339.3515497
118.51,208.58,339.5163661
129.1,214.97,339.6804986
140,220.88,339.8456007
151.17,226.08,340.0098421
162.55,228.86,340.17523
173.98,228.51,340.3397561
185.35,226.47,340.5054301
196.61,223.78,340.6702412
207.73,221.05,340.8351947
218.71,218.38,341.0011199
229.56,215.3,341.16618
240.24,211.88,341.3325697
250.74,208.33,341.4979147
261.05,203.92,341.6634018
271.13,199.54,341.8300417
281,195.35,341.9958139
290.67,191.33,342.1625598
300.14,187.47,342.328617
309.42,183.77,342.4946357
318.52,180.2,342.6619912
327.44,176.76,342.8282947
336.2,173.45,342.9947403
344.79,170.25,343.1623435
353.22,167.16,343.329074
361.5,164.17,343.4959468
369.64,161.28,343.6639792
377.63,158.48,343.8311373
385.49,155.77,343.9982542
393.21,153.13,344.1667161
400.8,150.58,344.3341178
408.27,148.1,344.5016615
415.62,145.69,344.6703682
422.84,143.34,
429.95,141.06,
436.95,138.84,
443.84,136.68,
450.62,134.57,
457.29,132.52,
463.87,130.52,
470.35,128.56,
476.73,126.65,
483.01,124.78,
489.21,122.96,
495.31,121.18,
501.32,119.44,
507.25,117.73,
513.1,116.07,
518.86,114.43,
524.54,112.83,
530.14,111.26,
535.67,109.73,
541.12,108.22,
546.49,106.74,
551.79,105.29,
557.02,103.87,
562.18,102.48,
567.27,101.1,
572.29,99.759,
577.25,98.437,
582.14,97.137,
586.96,95.859,
591.72,94.603,
596.42,93.367,
601.06,92.151,
605.64,90.956,
610.15,89.779,
614.61,88.621,
619.02,87.48,
623.36,86.357,
627.65,85.249,
631.89,84.158,
636.07,83.082,
640.2,82.023,
644.27,80.979,
648.29,79.949,
652.27,78.933,
656.19,77.931,
660.06,76.942,
663.88,75.966,
667.66,75.003,
671.38,74.052,
675.06,73.113,
678.69,72.185,
682.28,71.268,
685.82,70.361,
689.32,69.466,
692.77,68.582,
696.18,67.709,
699.54,66.846,
702.86,65.992,
706.14,65.148,
709.38,64.312,
712.57,63.485,
715.72,62.668,
